[2019-09-07T22:57:27.741] [INFO] [src/index] - [GET] /api/items?cate_id=2
[2019-09-07T22:57:30.260] [INFO] [src/index] - [GET] /api/items?cate_id=3
[2019-09-07T22:57:33.065] [INFO] [src/index] - [GET] /api/items?cate_id=3
[2019-09-07T22:57:38.238] [INFO] [src/index] - [GET] /api/items?cate_id=4
[2019-09-07T22:57:42.423] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T08:09:07.694] [INFO] [src/index] - [GET] /api/jobs
[2019-09-08T08:09:07.762] [INFO] [src/index] - [GET] /api/categories
[2019-09-08T08:09:08.701] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T08:09:27.367] [INFO] [src/index] - [GET] /api/jobs
[2019-09-08T08:09:27.406] [INFO] [src/index] - [GET] /api/categories
[2019-09-08T08:09:28.146] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T08:09:44.371] [INFO] [src/index] - [GET] /api/jobs
[2019-09-08T08:09:44.414] [INFO] [src/index] - [GET] /api/categories
[2019-09-08T08:09:45.078] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T08:12:59.977] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T08:13:03.291] [INFO] [src/index] - [GET] /api/items?cate_id=4
[2019-09-08T08:13:03.312] [INFO] [src/index] - [GET] /api/items?cate_id=8
[2019-09-08T08:13:06.228] [INFO] [src/index] - [GET] /api/jobs
[2019-09-08T08:13:06.252] [INFO] [src/index] - [GET] /api/categories
[2019-09-08T08:13:07.352] [INFO] [src/index] - [GET] /api/items
[2019-09-08T08:13:10.311] [INFO] [src/index] - [GET] /api/items?cate_id=2
[2019-09-08T08:13:39.969] [INFO] [src/index] - [GET] /api/items?cate_id=2
[2019-09-08T08:13:41.909] [INFO] [src/index] - [GET] /api/items
[2019-09-08T08:13:44.147] [INFO] [src/index] - [GET] /api/items?cate_id=2
[2019-09-08T08:13:57.178] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T08:17:57.789] [INFO] [src/index] - [GET] /api/items?cate_id=2
[2019-09-08T08:17:59.988] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T08:18:02.301] [INFO] [src/index] - [GET] /api/items
[2019-09-08T08:27:10.828] [INFO] [src/index] - [GET] /api/items?cate_id=6
[2019-09-08T08:27:12.515] [INFO] [src/index] - [GET] /api/items?cate_id=2
[2019-09-08T08:27:16.394] [INFO] [src/index] - [GET] /api/items?cate_id=3
[2019-09-08T08:27:17.620] [INFO] [src/index] - [GET] /api/items?cate_id=2
[2019-09-08T08:33:01.799] [INFO] [src/index] - [GET] /api/jobs
[2019-09-08T08:33:01.837] [INFO] [src/index] - [GET] /api/categories
[2019-09-08T08:33:02.617] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T08:33:30.240] [INFO] [src/index] - [GET] /api/items
[2019-09-08T08:33:37.601] [INFO] [src/index] - [GET] /api/items
[2019-09-08T08:34:04.870] [INFO] [src/index] - [GET] /api/items
[2019-09-08T08:41:46.160] [INFO] [src/index] - [GET] /api/items
[2019-09-08T08:41:48.676] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T08:42:39.229] [INFO] [src/index] - [GET] /api/jobs
[2019-09-08T08:42:39.298] [INFO] [src/index] - [GET] /api/categories
[2019-09-08T08:42:40.646] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T08:42:45.431] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T08:42:46.978] [INFO] [src/index] - [GET] /api/items?cate_id=2
[2019-09-08T08:42:48.831] [INFO] [src/index] - [GET] /api/items
[2019-09-08T08:42:52.153] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T08:42:53.768] [INFO] [src/index] - [GET] /api/items?cate_id=3
[2019-09-08T08:42:55.371] [INFO] [src/index] - [GET] /api/items?cate_id=2
[2019-09-08T08:44:20.204] [INFO] [src/index] - [GET] /api/items
[2019-09-08T08:49:22.602] [INFO] [src/index] - [GET] /api/jobs
[2019-09-08T08:49:22.642] [INFO] [src/index] - [GET] /api/categories
[2019-09-08T08:49:23.479] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T08:50:19.984] [INFO] [src/index] - [GET] /api/jobs
[2019-09-08T08:50:20.020] [INFO] [src/index] - [GET] /api/categories
[2019-09-08T08:50:20.952] [INFO] [src/index] - [GET] /api/items
[2019-09-08T08:51:22.757] [INFO] [src/index] - [GET] /api/jobs
[2019-09-08T08:51:22.803] [INFO] [src/index] - [GET] /api/categories
[2019-09-08T08:51:23.862] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T08:51:41.286] [INFO] [src/index] - [GET] /api/jobs
[2019-09-08T08:51:41.317] [INFO] [src/index] - [GET] /api/categories
[2019-09-08T08:51:41.990] [INFO] [src/index] - [GET] /api/items
[2019-09-08T08:52:18.460] [INFO] [src/index] - [GET] /api/jobs
[2019-09-08T08:52:18.493] [INFO] [src/index] - [GET] /api/categories
[2019-09-08T08:52:19.128] [INFO] [src/index] - [GET] /api/items
[2019-09-08T08:54:12.034] [INFO] [src/index] - [GET] /api/jobs
[2019-09-08T08:54:12.065] [INFO] [src/index] - [GET] /api/categories
[2019-09-08T08:54:12.685] [INFO] [src/index] - [GET] /api/items
[2019-09-08T08:54:50.453] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T08:54:52.562] [INFO] [src/index] - [GET] /api/items?cate_id=2
[2019-09-08T08:54:54.199] [INFO] [src/index] - [GET] /api/items
[2019-09-08T08:58:20.794] [INFO] [src/index] - [GET] /api/jobs
[2019-09-08T08:58:20.834] [INFO] [src/index] - [GET] /api/categories
[2019-09-08T08:58:21.623] [INFO] [src/index] - [GET] /api/items
[2019-09-08T08:58:24.439] [INFO] [src/index] - [GET] /api/items?cate_id=2
[2019-09-08T08:58:26.436] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T08:59:13.509] [INFO] [src/index] - [GET] /api/jobs
[2019-09-08T08:59:13.542] [INFO] [src/index] - [GET] /api/categories
[2019-09-08T08:59:14.832] [INFO] [src/index] - [GET] /api/items
[2019-09-08T08:59:44.838] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T08:59:46.562] [INFO] [src/index] - [GET] /api/items?cate_id=2
[2019-09-08T08:59:49.367] [INFO] [src/index] - [GET] /api/items?cate_id=3
[2019-09-08T09:00:03.856] [INFO] [src/index] - [GET] /api/jobs
[2019-09-08T09:00:03.885] [INFO] [src/index] - [GET] /api/categories
[2019-09-08T09:00:08.222] [INFO] [src/index] - [GET] /api/jobs
[2019-09-08T09:00:08.246] [INFO] [src/index] - [GET] /api/categories
[2019-09-08T09:00:12.287] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T09:01:06.788] [INFO] [src/index] - [GET] /api/items?cate_id=2
[2019-09-08T09:01:10.176] [INFO] [src/index] - [GET] /api/items?cate_id=3
[2019-09-08T09:01:11.446] [INFO] [src/index] - [GET] /api/items?cate_id=4
[2019-09-08T09:01:13.290] [INFO] [src/index] - [GET] /api/items?cate_id=5
[2019-09-08T09:01:16.438] [INFO] [src/index] - [GET] /api/items?cate_id=6
[2019-09-08T09:01:34.475] [INFO] [src/index] - [GET] /api/items
[2019-09-08T09:02:21.959] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T09:03:28.060] [INFO] [src/index] - [GET] /api/jobs
[2019-09-08T09:03:28.090] [INFO] [src/index] - [GET] /api/categories
[2019-09-08T09:03:31.161] [INFO] [src/index] - [GET] /api/items
[2019-09-08T11:30:53.981] [INFO] [src/index] - [GET] /api/items?id=1
[2019-09-08T11:39:40.449] [INFO] [src/index] - [GET] /
[2019-09-08T11:39:40.633] [INFO] [src/index] - [GET] /favicon.ico
[2019-09-08T11:40:29.724] [INFO] [src/index] - [GET] /
[2019-09-08T11:40:29.860] [INFO] [src/index] - [GET] /favicon.ico
[2019-09-08T11:41:03.536] [INFO] [src/index] - [GET] /api/jobs
[2019-09-08T11:41:07.221] [INFO] [src/index] - [GET] /api/categories
[2019-09-08T11:41:10.845] [INFO] [src/index] - [GET] /api/items
[2019-09-08T11:41:18.090] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T11:41:42.219] [INFO] [src/index] - [GET] /api/items
[2019-09-08T11:41:52.005] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T11:41:55.621] [INFO] [src/index] - [GET] /api/items?cate_id=2
[2019-09-08T11:42:03.813] [INFO] [src/index] - [GET] /api/items
[2019-09-08T11:42:15.803] [INFO] [src/index] - [GET] /api/jobs
[2019-09-08T11:42:15.843] [INFO] [src/index] - [GET] /api/categories
[2019-09-08T11:42:20.290] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T11:42:26.345] [INFO] [src/index] - [GET] /api/items?cate_id=2
[2019-09-08T11:45:01.619] [INFO] [src/index] - [GET] /api/jobs
[2019-09-08T11:45:01.663] [INFO] [src/index] - [GET] /api/categories
[2019-09-08T11:45:06.499] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T11:47:59.773] [INFO] [src/index] - [GET] /api/items?cate_id=8
[2019-09-08T11:48:00.052] [INFO] [src/index] - [GET] /api/items?cate_id=8
[2019-09-08T11:48:00.580] [INFO] [src/index] - [GET] /api/items?cate_id=8
[2019-09-08T11:48:00.696] [INFO] [src/index] - [GET] /api/items?cate_id=8
[2019-09-08T11:48:00.910] [INFO] [src/index] - [GET] /api/items?cate_id=8
[2019-09-08T11:48:01.093] [INFO] [src/index] - [GET] /api/items?cate_id=8
[2019-09-08T11:48:01.294] [INFO] [src/index] - [GET] /api/items?cate_id=8
[2019-09-08T11:48:04.472] [INFO] [src/index] - [GET] /api/items?cate_id=10
[2019-09-08T11:48:08.057] [INFO] [src/index] - [GET] /api/items
[2019-09-08T11:56:22.908] [INFO] [src/index] - [GET] /api/items?cate_id=6
[2019-09-08T11:56:24.702] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T11:57:56.605] [INFO] [src/index] - [GET] /api/jobs
[2019-09-08T11:57:56.657] [INFO] [src/index] - [GET] /api/categories
[2019-09-08T11:57:57.682] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T11:58:03.324] [INFO] [src/index] - [GET] /api/items?cate_id=2
[2019-09-08T11:58:10.694] [INFO] [src/index] - [GET] /api/items?cate_id=2
[2019-09-08T11:58:13.862] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-08T11:58:26.904] [INFO] [src/index] - [GET] /api/jobs
[2019-09-08T11:58:26.936] [INFO] [src/index] - [GET] /api/categories
[2019-09-08T11:58:27.839] [INFO] [src/index] - [GET] /api/items?cate_id=1
